Abbrev	corrected	Genus	Spec	Family	Order	Class	Phylum	Name	hymenia	morf	Lifestyle	originalTrait	Clade	dataset	0
Plecor	ballistospory	Pleurotus	cornucopiae	Pleurotaceae	Agaricales	Agaricomycetes	Basidiomycota	Pleurotus cornucopiae	lamellate	pileostipitate	white rot	ballistospory	0	new	32
Plucer1	ballistospory	Pluteus	cervinus	Pluteaceae	Agaricales	Agaricomycetes	Basidiomycota	Pluteus cervinus NL-1719 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	33
Volvo1	ballistospory	Volvariella	volvacea	Pluteaceae	Agaricales	Agaricomycetes	Basidiomycota	Volvariella volvacea V23	lamellate	pileostipitate		ballistospory	0	JGI202304	34
Copang1	ballistospory	Coprinellus	angulatus	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Coprinellus angulatus CBS 144469 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	35
Copmic2	ballistospory	Coprinellus	micaceus	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Coprinellus micaceus FP101781 v2.0	lamellate	pileostipitate		ballistospory	0	JGI202304	36
Copci_AmutBmut1	ballistospory	Coprinopsis	cinerea	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Coprinopsis cinerea AmutBmut pab1-1 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	37
CopciAB	ballistospory	Coprinopsis	cinerea	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Coprinopsis cinerea AmutBmut pab1-1 v1.0	lamellate	pileostipitate		ballistospory	0	new	38
Copmar1	ballistospory	Coprinopsis	marcescibilis	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Coprinopsis marcescibilis CBS121175 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	39
Copph3	ballistospory	Coprinopsis	sp.	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Coprinopsis sp. MPI-PUGE-AT-0042 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	40
Agrped1	ballistospory	Agrocybe	pediades	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Agrocybe pediades AH 40210 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	41
Galma1	ballistospory	Galerina	marginata	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Galerina marginata v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	42
Hypsu1	ballistospory	Hypholoma	sublateritium	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Hypholoma sublateritium v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	43
Phocon1	ballistospory	Pholiota	conissans	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Pholiota conissans CIRM-BRFM 674 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	44
Psicub1_1	ballistospory	Psilocybe	cubensis	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Psilocybe cubensis v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	45
Psiser1	ballistospory	Psilocybe	serbica	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Psilocybe serbica v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	46
Lacam2	ballistospory	Laccaria	amethystina	Tricholomataceae	Agaricales	Agaricomycetes	Basidiomycota	Laccaria amethystina LaAM-08-1 v2.0	lamellate	pileostipitate		ballistospory	0	JGI202304	47
Lacbi2	ballistospory	Laccaria	bicolor	Tricholomataceae	Agaricales	Agaricomycetes	Basidiomycota	Laccaria bicolor v2.0	lamellate	pileostipitate		ballistospory	0	JGI202304	48
Bolret1	ballistospory	Boletus	reticuloceps	Boletaceae	Boletales	Agaricomycetes	Basidiomycota	Boletus reticuloceps BR01	poroid	pileostipitate		ballistospory	0	JGI202304	49
Xerba1	ballistospory	Xerocomus	badius	Boletaceae	Boletales	Agaricomycetes	Basidiomycota	Xerocomus badius 84.06 v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	50
Gyrli1	ballistospory	Gyrodon	lividus	Gyrodontaceae	Boletales	Agaricomycetes	Basidiomycota	Gyrodon lividus BX v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	51
Paxru2	ballistospory	Paxillus	adelphus	Paxillaceae	Boletales	Agaricomycetes	Basidiomycota	Paxillus adelphus Ve08.2h10 v2.0	lamellate	pileostipitate		ballistospory	0	JGI202304	52
Paxam1	ballistospory	Paxillus	ammoniavirescens	Paxillaceae	Boletales	Agaricomycetes	Basidiomycota	Paxillus ammoniavirescens Pou09.2 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	53
Paxin1	ballistospory	Paxillus	involutus	Paxillaceae	Boletales	Agaricomycetes	Basidiomycota	Paxillus involutus ATCC 200175 v1.0	lamellate	pileostipitate		ballistospory	0	JGI202304	54
Suiame1	ballistospory	Suillus	americanus	Suillaceae	Boletales	Agaricomycetes	Basidiomycota	Suillus americanus EM31 v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	55
Suicot1	ballistospory	Suillus	cothurnatus	Suillaceae	Boletales	Agaricomycetes	Basidiomycota	Suillus cothurnatus VC 1858 v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	56
Suihi1	ballistospory	Suillus	hirtellus	Suillaceae	Boletales	Agaricomycetes	Basidiomycota	Suillus hirtellus EM16 v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	57
Suilu4	ballistospory	Suillus	luteus	Suillaceae	Boletales	Agaricomycetes	Basidiomycota	Suillus luteus UH-Slu-Lm8-n1 v3.0	poroid	pileostipitate	Mycorrhizal	ballistospory	0	PL109	58
Suisu1	ballistospory	Suillus	subalutaceus	Suillaceae	Boletales	Agaricomycetes	Basidiomycota	Suillus subalutaceus FC151 v1.0	poroid	pileostipitate		ballistospory	0	JGI202304	59
